Date Occurred ,Crime Description
1/15/2020 ,ACCIDENT INVOLVING INJURY          
1/15/2020 ,FAILURE TO REDUCE SPEED            
1/10/2020 ,ACCIDENT INVOLVING NON-INJURY      
1/10/2020 ,ACCIDENT ON PRIVATE PROPERTY       
1/10/2020 ,ACCIDENT HIT AND RUN               
1/15/2020 ,PEDESTRIAN STOPS                   
1/15/2020 ,PEDESTRIAN STOPS                   
1/15/2020 ,WARRANT-IN STATE                   
1/13/2020 ,DRIVING WITHOUT LIGHTS             
1/14/2020 ,SPEEDING (RADAR)                   
1/14/2020 ,SPEEDING (RADAR)                   
1/17/2020 ,DOG BITE  PUBLIC                   
1/18/2020 ,ASSIST STATE POLICE                
1/18/2020 ,OTHER TROUBLE/INFO RPT             
1/18/2020 ,MISSING PERSON ADULT/MALE          
1/18/2020 ,VIOLATION OF BAIL BOND             
1/18/2020 ,THEFT-RETAIL                       
1/19/2020 ,BATTERY-DOMESTIC                   
1/18/2020 ,VOID FILE NUMBER                   
1/20/2020 ,SUICIDE ATTEMPT/CUTTING            
1/20/2020 ,CRISIS INTERVEN. - SUICIDE ATTEMPT 
1/18/2020 ,OTHER TROUBLE/INFO RPT             
1/21/2020 ,BATTERY-DOMESTIC                   
1/21/2020 ,BATTERY-AGGRAVATED                 
1/21/2020 ,MURDER-FIRST DEGREE                
1/20/2020 ,CRIMINAL DAMAGE TO PROPERTY        
2/17/2020 ,CRIMINAL DAMAGE TO PROPERTY        
2/23/2020 ,BATTERY-DOMESTIC                   
2/24/2020 ,BATTERY-DOMESTIC                   
1/15/2020 ,THEFT-RETAIL                       
1/15/2020 ,BURGLARY RESIDENTIAL               
1/15/2020 ,THEFT-MOTOR VEHICLE                
1/17/2020 ,CRISIS INTERVEN. - DRUGS           
1/15/2020 ,WARRANT-IN STATE                   
1/13/2020 ,TRAFFIC SIGNAL VIOLATION           
1/18/2020 ,ACCIDENT INVOLVING NON-INJURY      
1/18/2020 ,ACCIDENT HIT AND RUN               
1/18/2020 ,LEAVING THE SCENE OF AN ACCIDENT   
1/18/2020 ,DRIVING UNDER SUSPENDED LICENSE    
1/18/2020 ,IMPOUNDED VEHICLE                  
1/18/2020 ,TRAFFIC SIGNAL VIOLATION           
1/18/2020 ,WARRANT-IN STATE                   
1/16/2020 ,ACCIDENT INVOLVING INJURY          
1/16/2020 ,FAILURE TO YIELD TURNING LEFT      
1/14/2020 ,SPEEDING (RADAR)                   
1/14/2020 ,SPEEDING (RADAR)                   
1/18/2020 ,FOUND ARTICLES                     
1/09/2020 ,FRAUD-DECEPTION                    
1/17/2020 ,THEFT-RETAIL                       
1/19/2020 ,BATTERY-DOMESTIC                   
1/19/2020 ,BATTERY-DOMESTIC                   
1/19/2020 ,CRISIS INTERVEN. - DOMESTIC TROUBLE
1/19/2020 ,BATTERY-DOMESTIC                   
1/20/2020 ,SPECIFIC NOISE PROHIBITED          
1/13/2020 ,CRIMINAL DAMAGE TO PROPERTY        
1/13/2020 ,TRESPASS TO LAND/REAL PROPERTY     
1/18/2020 ,RETAIL THEFT                       
1/17/2020 ,ACCIDENT INVOLVING NON-INJURY      
1/17/2020 ,ENDANG LIFE/HEALTH OF CHILD        
1/17/2020 ,FIELD INTERVIEW                    
1/17/2020 ,WARRANT-IN STATE                   
1/14/2020 ,SPEEDING (RADAR)                   
1/14/2020 ,SPEEDING (RADAR)                   
1/14/2020 ,SPEEDING (RADAR)                   
1/14/2020 ,SPEEDING (RADAR)                   
1/16/2020 ,FAILURE TO YIELD FROM STOP SIGN    
1/16/2020 ,ACCIDENT INVOLVING NON-INJURY      
1/18/2020 ,ACCIDENT INVOLVING INJURY          
1/18/2020 ,ACCIDENT W/NON-VEH PROP DAMAGE     
1/16/2020 ,FORGERY                            
1/18/2020 ,BATTERY-DOMESTIC                   
1/17/2020 ,BURGLARY FROM MOTOR VEHICLE        
1/18/2020 ,BURGLARY RESIDENTIAL               
1/18/2020 ,RUNAWAY - MINOR REQUIRE AUTH INTER 
1/13/2020 ,INTIMIDATION                       
1/20/2020 ,RESIST/OBS CORRECT/POLICE/FIRE     
1/20/2020 ,TRESPASS TO LAND/REAL PROPERTY     
1/20/2020 ,THEFT-RETAIL                       
1/21/2020 ,THEFT OVER $500                    
1/21/2020 ,OTHER TROUBLE/INFO RPT             
1/21/2020 ,HARASSMENT BY ELECTRONIC COMMUNICAT
1/21/2020 ,DISORDERLY CONDUCT-ALL OTHER       
1/19/2020 ,THEFT-MOTOR VEHICLE                
1/19/2020 ,THEFT OF LOST/MISLAID PROPERTY     
1/13/2020 ,ACCIDENT INVOLVING NON-INJURY      
1/13/2020 ,ACCIDENT W/NON-VEH PROP DAMAGE     
1/13/2020 ,ACCIDENT HIT AND RUN               
1/16/2020 ,BATTERY-DOMESTIC                   
1/16/2020 ,WARRANT-IN STATE                   
1/16/2020 ,DOMESTIC-INTERFERENCE WITH REPORT  
1/02/2020 ,THEFT OVER $500                    
1/15/2020 ,MISSING PERSON ADULT/FEMALE        
1/14/2020 ,ACCIDENT INVOLVING NON-INJURY      
1/14/2020 ,FAILURE TO REDUCE SPEED            
1/16/2020 ,ACCIDENT INVOLVING INJURY          
1/16/2020 ,IMPROPER LANE USAGE                
1/14/2020 ,ACCIDENT INVOLVING NON-INJURY      
1/14/2020 ,FAILURE TO YIELD TURNING LEFT      
1/10/2020 ,THEFT $500 AND UNDER               
1/13/2020 ,SPEEDING (RADAR)                   
1/13/2020 ,SPEEDING (RADAR)                   
1/14/2020 ,SPEEDING (RADAR)                   
1/14/2020 ,SPEEDING (RADAR)                   
1/16/2020 ,ACCIDENT INVOLVING NON-INJURY      
1/16/2020 ,IMPROPER LANE USAGE                
1/16/2020 ,ACCIDENT UNDERPASSES               
1/14/2020 ,SPEEDING (RADAR)                   
1/11/2020 ,THEFT-RETAIL                       
1/19/2020 ,BATTERY-DOMESTIC                   
1/19/2020 ,SUICIDE THREAT-NO ATTEMPT          
1/19/2020 ,CRISIS INT - SUICIDE THREAT/ATTEMPT
1/19/2020 ,FOUND ARTICLES                     
1/20/2020 ,BURGLARY FROM MOTOR VEHICLE        
1/19/2020 ,THEFT $500 AND UNDER               
1/19/2020 ,DECEPTIVE PRACTICES                
1/18/2020 ,ASSIST COUNTY POLICE               
1/15/2020 ,THEFT-RETAIL                       
1/03/2020 ,DECEPTIVE PRACTICES                
1/13/2020 ,SPEEDING (RADAR)                   
1/13/2020 ,TRAFFIC SIGN VIOLATION             
1/14/2020 ,SPEEDING (RADAR)                   
1/14/2020 ,SPEEDING (RADAR)                   
1/16/2020 ,ACCIDENT INVOLVING NON-INJURY      
1/16/2020 ,IMPROPER LANE USAGE                
1/14/2020 ,SPEEDING (RADAR)                   
1/14/2020 ,IMPROPER PASSING                   
1/14/2020 ,IMPROPER USE OF SIGNAL             
1/17/2020 ,CRISIS INTERVEN. - SUICIDE IDEATION
1/17/2020 ,SUICIDE THREAT-NO ATTEMPT          
1/18/2020 ,THEFT-RETAIL                       
1/20/2020 ,TRESPASS TO LAND/REAL PROPERTY     
1/15/2020 ,ACCIDENT INVOLVING NON-INJURY      
1/15/2020 ,ACCIDENT HIT AND RUN               
1/19/2020 ,BURGLARY RESIDENTIAL               
1/19/2020 ,ROBBERY-ARMED                      
1/17/2020 ,FAILURE TO REDUCE SPEED            
1/17/2020 ,ACCIDENT INVOLVING NON-INJURY      
2/20/2020 ,ACCIDENT INVOLVING INJURY          
2/20/2020 ,TRAFFIC SIGN VIOLATION             
2/23/2020 ,RESIST/OBS CORRECT/POLICE/FIRE     
2/23/2020 ,POSSESSION OF STOLEN FIREARM       
2/23/2020 ,UNLAWFUL POSS/USE WEAPON BY FELON  
2/23/2020 ,C.P.D. DAMAGED APPAREL             
2/23/2020 ,WARRANT-IN STATE                   
2/15/2020 ,ACCIDENT INVOLVING NON-INJURY      
2/13/2020 ,TRAFFIC SIGNAL VIOLATION           
2/24/2020 ,VOID FILE NUMBER                   
2/24/2020 ,RUNAWAY - MINOR REQUIRE AUTH INTER 
2/26/2020 ,ACCIDENT INVOLVING NON-INJURY      
2/26/2020 ,IMPOUNDED VEHICLE                  
2/26/2020 ,NO VALID DL DRIVERS LICENSE        
2/26/2020 ,FAILURE TO REDUCE SPEED            
2/24/2020 ,ACCIDENT INVOLVING INJURY          
2/24/2020 ,FAILURE TO YIELD AT INTERSECTION   
2/13/2020 ,FIELD INTERVIEW                    
2/11/2020 ,FIELD INTERVIEW                    
