Date Occurred ,Crime Description
1/14/2021 ,BATTERY-AGGRAVATED                 
1/17/2021 ,BURGLARY FROM MOTOR VEHICLE        
1/17/2021 ,CRIMINAL DAMAGE TO PROPERTY        
1/17/2021 ,MISSING PERSON ADULT/FEMALE        
1/19/2021 ,ASSAULT                            
1/19/2021 ,ASSAULT                            
1/15/2021 ,BURGLARY FROM MOTOR VEHICLE        
1/14/2021 ,TRAFFIC SIGNAL VIOLATION           
1/10/2021 ,IMPROPER LIGHTING/ONE HEADLIGHT    
1/12/2021 ,TRAFFIC SIGNAL VIOLATION           
1/20/2021 ,BURGLARY FROM MOTOR VEHICLE        
1/20/2021 ,CRIMINAL DAMAGE TO PROPERTY        
1/20/2021 ,THEFT-RETAIL                       
1/21/2021 ,BURGLARY FROM MOTOR VEHICLE        
1/21/2021 ,CRIMINAL DAMAGE TO PROPERTY        
1/17/2021 ,NO VALID DL DRIVERS LICENSE        
1/21/2021 ,BURGLARY FROM MOTOR VEHICLE        
1/21/2021 ,CRIMINAL DAMAGE TO PROPERTY        
1/01/2021 ,SEXUAL-ASSAULT-CRIMINAL            
1/24/2021 ,IMPOUNDED VEHICLE                  
1/24/2021 ,OPERATE UNINSURED MOTOR VEHICLE    
1/24/2021 ,TRAFFIC SIGNAL VIOLATION           
1/24/2021 ,ACCIDENT INVOLVING INJURY          
1/24/2021 ,DRIVING UNDER THE INFL-ALCOHOL     
1/24/2021 ,CONTROLLED SUBSTANCE-POSSESSION    
1/24/2021 ,ACCIDENT HIT AND RUN               
1/24/2021 ,LEAVING SCENE PROPERTY DAMAGE      
1/24/2021 ,ACCIDENT INVOLVING INJURY          
1/24/2021 ,IMPOUNDED VEHICLE                  
1/24/2021 ,DRIVING UNDER THE INFL-ALCOHOL     
1/22/2021 ,DEATH INVESTIGATION                
1/24/2021 ,BATTERY-DOMESTIC                   
1/24/2021 ,ASSAULT-AGGRAVATED                 
1/24/2021 ,CRIMINAL DAMAGE TO PROPERTY        
3/21/2021 ,BATTERY-DOMESTIC                   
3/21/2021 ,BATTERY-DOMESTIC                   
3/22/2021 ,BATTERY-DOMESTIC                   
3/22/2021 ,SEXUAL-ASSAULT-CRIMINAL            
3/19/2021 ,FIELD INTERVIEW                    
3/19/2021 ,CRISIS INTERVEN. - MENTAL ILLNESS  
3/15/2021 ,LOST DRIVERS LICENSE/PLATE         
3/04/2021 ,ACCIDENT INVOLVING NON-INJURY      
3/04/2021 ,ACCIDENT HIT AND RUN               
3/17/2021 ,BURGLARY RESIDENTIAL               
3/22/2021 ,FOUND ARTICLES                     
3/13/2021 ,DECEPTIVE PRACTICES                
3/06/2021 ,THEFT OVER $500                    
3/06/2021 ,FORGERY                            
3/23/2021 ,ACCIDENT ON PRIVATE PROPERTY       
3/23/2021 ,ACCIDENT HIT AND RUN               
3/23/2021 ,ACCIDENT INVOLVING NON-INJURY      
3/14/2021 ,ACCIDENT W/NON-VEH PROP DAMAGE     
3/14/2021 ,ACCIDENT ON PRIVATE PROPERTY       
3/14/2021 ,ACCIDENT HIT AND RUN               
3/14/2021 ,ACCIDENT INVOLVING NON-INJURY      
